task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
sort_list_indices_length2_mnist,3177,500,0.888,0.9,0.912,0.94,0.936,0.948,0.956,0.966,0.956,0.964,453.5915,449.3663,449.8175,445.883,447.4661,452.9355,452.2627,451.396,451.6709,452.2475
sort_list_indices_length2_mnist,5848,500,0.88,0.924,0.926,0.938,0.932,0.932,0.936,0.944,0.936,0.936,453.9667,450.5039,447.4636,448.8413,449.4683,449.6715,449.7965,451.1115,448.915,449.434
sort_list_indices_length2_mnist,9175,500,0.886,0.942,0.942,0.948,0.93,0.944,0.95,0.958,0.956,0.948,457.5046,455.277,454.4278,453.4309,451.5315,452.4973,452.5242,452.3696,451.6531,449.8947
sort_list_indices_length2_mnist,8725,500,0.904,0.936,0.96,0.974,0.98,0.976,0.974,0.974,0.976,0.976,451.1553,448.2948,454.3001,454.2942,452.5869,451.8216,453.2105,455.1971,453.2799,455.4201
sort_list_indices_length2_mnist,1234,500,0.884,0.936,0.922,0.944,0.958,0.964,0.96,0.96,0.966,0.968,452.6929,452.073,454.0046,450.1998,450.6751,452.2265,452.3747,452.4311,452.2819,453.5031
sort_list_indices_length2_mnist,3177,1000,0.894,0.894,0.924,0.94,0.944,0.954,0.948,0.958,0.956,0.96,913.2821,914.4695,907.02,907.8401,908.9991,910.0973,909.2561,909.0879,907.4576,910.4783
sort_list_indices_length2_mnist,5848,1000,0.886,0.922,0.926,0.938,0.93,0.93,0.942,0.946,0.944,0.942,913.2552,910.5638,913.8707,913.0628,913.2036,912.8894,914.996,913.973,913.4899,914.9654
sort_list_indices_length2_mnist,9175,1000,0.894,0.942,0.946,0.956,0.95,0.954,0.952,0.958,0.954,0.95,916.5271,908.2895,908.1051,911.5899,909.0359,910.7264,910.8336,912.4801,906.8082,912.4079
sort_list_indices_length2_mnist,8725,1000,0.884,0.91,0.944,0.97,0.976,0.974,0.974,0.98,0.968,0.976,915.5259,915.3016,915.4988,916.7699,915.2472,915.201,917.3748,914.2968,920.633,919.0667
sort_list_indices_length2_mnist,1234,1000,0.894,0.946,0.946,0.954,0.96,0.968,0.958,0.962,0.968,0.964,912.023,913.1014,911.8659,911.335,909.5786,910.7059,911.1255,912.6422,913.1419,914.4415
sort_list_indices_length3_mnist,3177,50,0.792,0.852,0.896,0.898,0.926,0.908,0.918,0.924,0.922,0.936,59.3446,53.818,55.1185,54.3525,49.7596,49.8857,54.9513,57.2577,49.3632,54.4178
sort_list_indices_length3_mnist,5848,50,0.768,0.876,0.898,0.894,0.924,0.926,0.924,0.912,0.924,0.928,56.7608,53.4823,54.3548,52.9684,50.4004,49.4313,51.1121,56.0665,55.173,53.5177
sort_list_indices_length3_mnist,9175,50,0.732,0.81,0.86,0.87,0.886,0.886,0.888,0.886,0.894,0.9,56.0377,55.7339,54.6656,53.306,54.5863,55.0087,52.683,52.1906,53.1375,51.1483
sort_list_indices_length3_mnist,8725,50,0.768,0.864,0.894,0.896,0.914,0.91,0.912,0.922,0.912,0.916,57.0228,50.0686,48.9714,51.7747,56.0929,56.0222,50.3015,50.7569,49.4145,49.7987
sort_list_indices_length3_mnist,1234,50,0.736,0.858,0.886,0.884,0.898,0.902,0.894,0.914,0.9,0.9,52.3117,53.9211,54.1702,53.7425,54.8356,54.6654,49.3353,52.1088,49.9185,54.8887
sort_list_indices_length3_mnist,3177,100,0.816,0.86,0.896,0.91,0.914,0.918,0.934,0.932,0.936,0.924,98.2816,100.0751,96.5209,95.3813,99.747,94.7006,94.4658,95.0077,99.7052,95.4633
sort_list_indices_length3_mnist,5848,100,0.79,0.874,0.884,0.896,0.912,0.91,0.898,0.89,0.908,0.914,100.9927,106.2408,106.1768,95.1872,97.9045,94.3793,92.8993,101.8996,95.2749,98.0734
sort_list_indices_length3_mnist,9175,100,0.784,0.838,0.87,0.878,0.872,0.888,0.894,0.888,0.9,0.9,99.4438,98.6716,98.1682,105.0732,98.1151,94.2045,93.463,94.5018,93.2198,94.0886
sort_list_indices_length3_mnist,8725,100,0.738,0.842,0.872,0.89,0.882,0.9,0.894,0.892,0.908,0.896,102.4688,97.726,95.1671,98.0902,99.4048,94.8828,94.3934,94.059,94.1901,94.3058
sort_list_indices_length3_mnist,1234,100,0.752,0.848,0.89,0.886,0.904,0.908,0.898,0.908,0.91,0.91,115.0219,99.7831,106.3412,101.2542,107.3228,97.3524,97.5314,96.2629,98.1568,99.5597
sort_list_indices_length3_mnist,3177,500,0.842,0.892,0.914,0.926,0.916,0.904,0.934,0.92,0.926,0.934,309.3154,268.2784,269.7171,267.868,268.4248,261.4259,271.2446,265.045,263.7254,257.0191
sort_list_indices_length3_mnist,5848,500,0.748,0.818,0.83,0.844,0.83,0.846,0.86,0.858,0.87,0.846,273.0705,265.1526,265.9575,263.6964,269.5007,267.6624,268.8488,264.2519,261.8116,263.1776
sort_list_indices_length3_mnist,9175,500,0.854,0.89,0.886,0.894,0.9,0.904,0.896,0.89,0.9,0.894,264.4538,265.4631,261.5376,265.5762,260.8976,264.4911,265.1028,261.2616,266.5105,263.1884
sort_list_indices_length3_mnist,8725,500,0.824,0.894,0.9,0.914,0.908,0.916,0.918,0.934,0.932,0.93,266.9699,267.5437,268.304,263.2576,266.1487,260.9725,298.3071,273.5414,261.5964,268.7841
sort_list_indices_length3_mnist,1234,500,0.846,0.886,0.916,0.92,0.93,0.934,0.924,0.924,0.922,0.932,273.622,266.8074,273.7701,268.3521,261.5052,269.6073,260.526,266.806,304.7392,320.2874
sort_list_indices_length3_mnist,3177,1000,0.816,0.902,0.91,0.93,0.922,0.926,0.93,0.926,0.93,0.942,557.7494,552.4802,549.929,547.2816,544.0673,528.3486,532.1441,532.4211,535.1155,532.8196
sort_list_indices_length3_mnist,5848,1000,0.824,0.882,0.894,0.898,0.904,0.906,0.912,0.91,0.914,0.908,509.7425,507.4088,506.7219,507.5039,504.6671,571.5192,529.3641,532.9961,523.0519,516.547
sort_list_indices_length3_mnist,9175,1000,0.856,0.878,0.898,0.912,0.89,0.904,0.904,0.898,0.896,0.908,511.7761,555.8429,489.8791,495.9251,500.5123,502.3722,500.8679,531.8486,497.8686,499.2193
sort_list_indices_length3_mnist,8725,1000,0.796,0.878,0.884,0.88,0.886,0.896,0.898,0.902,0.92,0.908,495.0309,491.312,492.2488,489.9398,494.0468,490.3587,497.3083,496.8658,495.1639,494.0774
sort_list_indices_length3_mnist,1234,1000,0.864,0.916,0.91,0.922,0.924,0.918,0.922,0.932,0.944,0.938,498.5216,504.5201,499.9995,494.3118,495.2624,506.4301,495.6928,492.7076,494.9372,499.9413
