task name,random seed,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
longest_common_prefix_svhn,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.4229,60.6903,60.9285,64.9886,61.586,69.8392,76.0208,65.8276,62.0637,65.6033
longest_common_prefix_svhn,9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.686,66.9609,63.2458,64.3861,66.7213,62.564,67.163,66.3065,64.5005,64.3861
reverse_string,3177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.002,221.6409,215.7317,221.2647,211.4807,229.4417,222.7414,212.7907,220.423,218.8772
reverse_string,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.2163,222.1892,216.6065,233.4282,227.1347,212.9884,227.472,222.3755,216.0421,221.6025
reverse_string,9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9601,215.0215,221.3987,221.2973,223.5307,216.5211,221.4254,225.561,239.4453,229.9926
palindrome_number_mnist,3177,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,,,,,,,,,,
palindrome_number,5848_mnist,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,,,,,,,,,,
palindrome_number,9175_mnist,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,,,,,,,,,,
palindrome_number_svhn,3177,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,,,,,,,,,,
palindrome_number_svhn,5848,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,
palindrome_number_svhn,9175,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,,,,,,,,,,
